sleep_hours,screen_time,exercise_minutes,daily_pending_tasks,interruptions,fatigue_level,social_hours,coffee_cups,diet_quality,weather,mood_score,stress_level
7.75,3.65,13.27,1.00,5.00,4.18,2.45,1.00,average,snowy,9.17,1.00
6.79,4.71,1.79,3.00,6.00,4.88,1.33,3.00,good,sunny,5.71,3.56
7.97,3.42,71.84,4.00,10.00,4.21,2.13,0.00,poor,cloudy,10.00,2.97
9.28,4.38,14.60,2.00,4.00,3.36,1.86,0.00,good,sunny,8.39,1.00
6.65,1.21,19.05,3.00,5.00,6.23,2.64,1.00,poor,rainy,10.00,1.64
6.65,5.43,5.40,3.00,3.00,4.70,2.14,0.00,poor,cloudy,5.92,1.03
9.37,5.00,13.21,3.00,3.00,4.82,2.29,1.00,average,sunny,8.37,1.00
8.15,3.37,11.21,2.00,8.00,0.00,0.97,1.00,good,sunny,9.38,1.00
6.30,6.32,1.56,3.00,3.00,4.55,0.72,0.00,average,snowy,4.84,1.57
7.81,6.88,2.24,1.00,7.00,2.85,2.07,2.00,average,rainy,6.45,1.00
6.30,1.78,36.34,5.00,8.00,3.96,2.18,4.00,average,cloudy,10.00,5.14
6.30,3.47,5.48,4.00,4.00,5.47,0.95,5.00,poor,cloudy,6.42,4.36
7.36,3.46,4.34,3.00,5.00,3.77,2.57,0.00,average,snowy,6.54,1.21
4.13,3.12,14.06,4.00,6.00,4.05,2.62,2.00,good,cloudy,7.45,4.67
4.41,6.66,29.28,3.00,1.00,5.19,2.16,0.00,poor,cloudy,8.87,1.50
6.16,4.61,1.28,3.00,2.00,3.99,2.02,1.00,average,rainy,5.83,1.41
5.48,4.47,17.20,4.00,3.00,2.89,0.73,0.00,good,sunny,8.72,3.17
7.47,0.99,2.54,3.00,4.00,1.56,0.72,0.00,poor,sunny,8.87,1.00
5.64,6.27,0.74,4.00,4.00,5.67,2.39,1.00,average,cloudy,3.10,3.60
4.88,2.52,1.08,2.00,4.00,3.97,1.17,2.00,average,rainy,4.87,2.23
9.20,5.12,35.94,5.00,3.00,1.67,1.24,0.00,average,snowy,10.00,1.65
6.66,5.55,2.51,4.00,5.00,7.49,2.28,0.00,poor,sunny,5.30,2.52
7.10,7.72,0.92,2.00,5.00,5.68,4.04,2.00,average,cloudy,3.92,1.00
4.86,2.38,11.52,3.00,2.00,2.62,1.60,1.00,good,cloudy,5.75,2.72
6.18,0.00,37.16,4.00,6.00,3.59,4.05,2.00,average,rainy,10.00,2.92
7.17,5.37,6.09,4.00,3.00,7.09,1.92,0.00,good,rainy,5.79,2.71
5.27,8.60,10.95,4.00,4.00,4.65,2.56,0.00,poor,rainy,4.34,3.13
7.56,7.48,0.81,5.00,3.00,4.16,2.96,0.00,average,cloudy,4.48,3.46
6.10,5.42,11.92,2.00,6.00,6.50,3.03,1.00,average,rainy,7.52,1.36
6.56,4.02,17.24,3.00,4.00,4.66,2.34,0.00,average,cloudy,9.48,1.00
6.10,6.61,16.92,3.00,1.00,7.46,1.77,2.00,poor,sunny,7.08,1.33
9.78,3.05,8.08,3.00,9.00,4.17,2.83,3.00,average,cloudy,8.76,1.00
6.98,5.95,7.58,2.00,7.00,3.86,2.42,0.00,good,cloudy,6.02,2.24
5.41,6.01,2.25,3.00,5.00,5.03,1.56,1.00,good,sunny,4.60,2.72
8.23,7.12,9.14,2.00,4.00,6.93,3.41,0.00,poor,rainy,6.00,1.00
5.17,10.52,2.10,6.00,2.00,5.50,2.46,1.00,good,rainy,1.80,5.06
7.31,5.78,29.10,4.00,4.00,5.21,1.25,1.00,good,cloudy,9.62,1.82
4.06,3.98,67.79,2.00,5.00,3.39,1.13,1.00,average,cloudy,10.00,1.85
5.01,4.95,70.18,1.00,4.00,3.09,3.96,1.00,poor,sunny,10.00,1.00
7.30,1.46,40.06,4.00,6.00,6.93,1.51,1.00,good,rainy,10.00,3.94
8.11,3.61,18.37,4.00,3.00,7.14,2.75,1.00,average,sunny,9.47,1.11
7.26,4.18,24.14,2.00,7.00,7.08,2.38,3.00,good,cloudy,10.00,1.34
6.83,3.95,6.72,6.00,5.00,6.58,2.72,1.00,average,cloudy,6.69,4.68
6.55,5.30,19.93,3.00,6.00,5.89,3.91,0.00,average,sunny,8.90,1.69
4.78,3.36,12.16,0.00,7.00,5.86,3.00,0.00,average,sunny,7.47,1.00
5.92,7.24,13.16,3.00,2.00,5.27,2.84,1.00,good,snowy,5.77,1.00
6.31,5.00,28.36,1.00,6.00,6.12,1.80,0.00,average,snowy,9.36,1.00
8.59,4.98,6.62,2.00,4.00,4.92,1.34,0.00,poor,rainy,6.42,1.00
7.52,4.34,7.66,3.00,6.00,6.12,4.42,3.00,average,sunny,7.36,2.16
4.36,5.31,51.71,2.00,3.00,6.84,1.96,3.00,average,rainy,10.00,2.35
7.49,6.65,1.16,3.00,6.00,2.48,1.89,1.00,average,snowy,4.55,1.13
6.42,3.27,13.30,3.00,8.00,7.19,2.29,1.00,average,rainy,7.22,2.99
5.98,3.68,48.79,2.00,3.00,4.88,2.19,2.00,average,snowy,10.00,1.51
7.92,4.39,18.85,5.00,7.00,7.92,3.59,1.00,average,sunny,8.36,4.85
8.55,2.31,15.81,1.00,15.00,7.54,2.54,0.00,poor,sunny,9.96,2.39
8.40,3.36,5.75,3.00,7.00,2.94,0.69,0.00,average,rainy,7.31,1.21
5.74,4.05,8.41,3.00,6.00,5.00,1.34,4.00,poor,sunny,5.62,3.39
6.54,6.75,38.22,3.00,3.00,1.27,2.01,1.00,average,rainy,10.00,1.09
7.50,5.53,16.38,4.00,2.00,4.23,3.03,2.00,good,rainy,8.68,1.49
8.46,5.39,14.46,4.00,5.00,5.71,0.48,0.00,average,snowy,7.03,1.55
6.28,6.70,2.10,1.00,6.00,6.69,2.49,0.00,poor,cloudy,4.44,1.00
6.72,4.73,0.32,4.00,6.00,5.14,2.73,0.00,average,rainy,4.35,2.21
5.34,5.78,66.31,2.00,4.00,5.89,2.88,3.00,average,snowy,10.00,2.37
5.21,4.79,9.46,1.00,1.00,3.60,1.92,0.00,average,snowy,6.28,1.00
8.22,5.53,18.49,3.00,6.00,4.96,3.05,0.00,average,snowy,8.71,1.00
9.03,3.83,1.66,4.00,8.00,3.82,1.18,1.00,good,cloudy,6.74,2.10
6.89,0.12,22.98,0.00,2.00,5.57,2.95,1.00,good,sunny,10.00,1.00
8.51,4.73,53.93,4.00,2.00,7.78,1.94,0.00,average,rainy,10.00,1.00
7.54,7.85,17.14,3.00,2.00,4.89,2.04,0.00,average,rainy,6.92,1.00
6.03,6.85,2.70,4.00,5.00,2.26,2.03,0.00,good,sunny,4.98,2.31
7.54,6.93,17.43,0.00,7.00,5.39,2.65,3.00,poor,sunny,7.80,1.00
9.31,7.47,29.08,2.00,7.00,6.41,0.90,0.00,poor,snowy,9.75,1.00
6.95,5.18,10.43,6.00,9.00,3.16,2.89,0.00,average,snowy,7.40,5.83
9.35,5.39,42.38,4.00,4.00,7.48,2.87,0.00,average,sunny,10.00,1.09
3.07,3.76,20.92,4.00,7.00,3.81,1.70,3.00,good,rainy,7.89,5.61
8.23,4.37,45.90,2.00,5.00,3.48,2.00,1.00,average,sunny,10.00,1.00
7.13,6.23,19.54,1.00,7.00,1.44,1.14,0.00,average,sunny,9.16,1.00
6.55,7.41,2.81,2.00,7.00,5.54,0.84,1.00,good,cloudy,4.31,1.51
7.14,4.72,7.41,3.00,3.00,8.63,2.20,2.00,average,cloudy,6.22,1.23
4.02,4.10,4.51,2.00,5.00,5.73,2.20,0.00,average,snowy,4.49,1.52
6.67,5.00,47.90,4.00,5.00,3.53,1.66,0.00,poor,snowy,10.00,2.53
7.54,6.20,28.58,3.00,5.00,6.03,0.75,0.00,poor,rainy,9.82,1.89
9.22,2.11,22.56,3.00,5.00,6.60,2.46,0.00,poor,sunny,10.00,1.00
6.22,0.41,7.16,1.00,8.00,7.32,1.64,1.00,average,sunny,7.42,1.00
5.79,3.90,4.07,3.00,2.00,2.53,1.25,2.00,good,cloudy,6.35,1.15
6.25,2.56,28.25,4.00,6.00,8.11,3.28,1.00,good,rainy,10.00,3.35
8.37,3.98,12.86,3.00,6.00,5.43,1.02,1.00,average,sunny,8.75,1.00
7.49,4.70,5.12,2.00,6.00,8.51,2.56,1.00,good,rainy,4.84,1.00
6.21,4.09,19.17,2.00,1.00,5.31,0.50,1.00,average,cloudy,7.87,1.00
7.77,7.90,0.82,4.00,10.00,6.15,0.56,2.00,average,sunny,3.95,4.16
7.15,5.65,7.90,1.00,5.00,3.10,2.48,0.00,poor,cloudy,6.88,1.00
8.45,5.60,12.64,4.00,3.00,6.97,1.66,0.00,average,cloudy,6.95,1.00
5.95,6.24,3.20,1.00,0.00,2.85,0.83,2.00,poor,cloudy,5.06,1.00
6.51,2.72,83.54,2.00,7.00,5.54,2.95,0.00,average,sunny,10.00,1.00
6.41,7.08,4.69,1.00,4.00,4.14,2.37,0.00,good,rainy,6.48,1.00
4.80,4.85,2.79,1.00,6.00,4.82,0.00,1.00,poor,sunny,5.18,1.00
7.44,6.34,4.55,2.00,4.00,7.17,2.96,0.00,poor,cloudy,5.36,1.00
7.39,2.86,29.31,4.00,2.00,4.29,0.94,1.00,average,snowy,10.00,1.37
7.01,1.89,11.09,3.00,4.00,7.21,0.29,0.00,average,rainy,7.60,1.00
6.65,6.64,16.67,4.00,9.00,4.19,1.18,0.00,average,snowy,6.77,3.23
4.88,5.75,0.42,2.00,4.00,5.26,1.96,1.00,average,cloudy,3.71,1.58
6.37,3.20,0.70,3.00,5.00,9.30,2.08,1.00,average,sunny,4.36,2.10
6.49,3.26,11.81,5.00,8.00,5.24,0.37,0.00,average,rainy,7.27,4.35
5.80,7.25,33.93,5.00,2.00,4.85,0.59,2.00,average,snowy,9.33,4.14
6.76,2.62,43.30,3.00,2.00,5.28,1.24,1.00,good,sunny,10.00,1.00
7.61,8.29,1.81,4.00,5.00,4.34,1.30,1.00,average,rainy,3.80,3.02
9.83,3.20,15.46,4.00,4.00,3.00,2.76,2.00,good,cloudy,10.00,1.00
7.26,6.28,48.89,3.00,8.00,9.12,1.59,2.00,good,cloudy,10.00,2.49
7.39,4.34,9.82,2.00,6.00,4.19,2.74,1.00,average,cloudy,7.71,1.00
6.89,6.21,35.39,3.00,9.00,1.96,3.10,2.00,average,sunny,10.00,2.81
4.12,3.91,2.87,3.00,7.00,4.69,2.56,2.00,average,sunny,5.39,4.44
6.96,4.67,54.79,5.00,2.00,5.71,0.00,0.00,average,cloudy,10.00,3.00
7.09,5.08,27.84,3.00,8.00,4.58,1.70,1.00,average,cloudy,10.00,2.45
10.69,3.00,56.72,2.00,3.00,4.90,1.83,0.00,poor,rainy,10.00,1.00
6.71,6.48,22.58,4.00,5.00,4.67,1.95,2.00,poor,snowy,8.02,1.97
7.45,3.97,9.03,4.00,4.00,5.85,0.00,1.00,average,rainy,6.32,2.30
6.95,4.54,55.67,1.00,5.00,6.64,1.24,0.00,poor,snowy,10.00,1.00
5.25,3.01,6.45,5.00,4.00,4.62,0.64,3.00,good,sunny,6.71,4.70
8.71,0.00,8.07,2.00,8.00,10.00,1.07,0.00,poor,rainy,7.68,1.00
8.13,4.62,24.13,1.00,0.00,7.08,1.74,0.00,average,sunny,10.00,1.00
8.19,9.83,28.99,2.00,7.00,4.99,1.26,1.00,good,sunny,8.86,1.00
5.64,6.57,53.02,5.00,4.00,2.36,1.15,2.00,good,snowy,10.00,4.49
9.10,4.96,4.58,4.00,5.00,5.23,1.80,1.00,average,snowy,7.20,2.53
4.90,4.47,31.99,5.00,2.00,6.63,1.51,1.00,poor,rainy,10.00,3.60
7.88,5.04,26.83,4.00,3.00,6.64,2.20,0.00,average,rainy,10.00,1.00
10.29,6.09,1.32,1.00,3.00,1.29,1.58,0.00,average,rainy,6.13,1.00
5.51,2.64,9.80,2.00,1.00,5.23,0.43,2.00,average,snowy,8.35,1.68
6.15,7.23,6.65,1.00,3.00,4.04,0.97,0.00,average,cloudy,4.50,1.00
7.15,6.43,7.26,4.00,4.00,7.99,1.67,1.00,poor,cloudy,5.11,2.20
6.24,6.44,81.43,2.00,4.00,5.25,1.55,4.00,good,snowy,10.00,2.74
4.67,5.88,20.59,2.00,7.00,0.43,0.59,0.00,poor,rainy,8.30,2.12
7.10,5.04,25.29,3.00,9.00,5.74,2.68,0.00,average,cloudy,10.00,2.24
5.41,6.35,75.12,4.00,1.00,1.10,2.31,0.00,good,sunny,10.00,2.62
7.71,6.18,9.47,2.00,3.00,5.90,1.40,1.00,average,cloudy,6.74,1.00
5.62,4.29,32.37,3.00,5.00,10.00,1.84,2.00,average,cloudy,10.00,2.78
9.32,3.85,11.40,4.00,1.00,7.72,0.93,0.00,poor,snowy,8.49,1.00
5.83,5.20,40.73,2.00,3.00,5.52,2.85,0.00,good,snowy,10.00,1.00
6.52,8.10,3.99,3.00,5.00,3.68,4.07,0.00,poor,cloudy,4.62,1.53
8.22,2.52,59.01,2.00,7.00,7.55,1.36,1.00,average,sunny,10.00,1.00
5.15,2.06,4.94,5.00,4.00,6.27,3.22,2.00,good,sunny,5.99,5.12
7.34,5.33,7.90,7.00,6.00,4.47,1.14,0.00,poor,rainy,7.90,4.32
8.96,5.10,28.23,4.00,4.00,3.92,1.47,1.00,good,cloudy,10.00,1.36
4.59,5.35,10.01,2.00,3.00,3.19,3.43,0.00,good,cloudy,6.21,1.00
7.28,5.49,18.74,0.00,5.00,5.75,1.88,3.00,average,sunny,8.06,1.00
7.39,4.55,11.76,3.00,4.00,4.17,2.69,1.00,average,snowy,7.94,1.00
8.17,7.98,27.12,3.00,4.00,5.34,1.73,1.00,good,cloudy,8.67,1.00
5.14,1.80,5.18,2.00,4.00,6.86,0.20,0.00,average,sunny,6.97,1.00
5.02,3.34,1.20,1.00,5.00,4.12,4.34,3.00,good,cloudy,5.77,1.55
7.78,4.79,7.13,7.00,4.00,6.29,1.78,2.00,average,snowy,6.45,5.67
7.45,1.71,12.86,4.00,8.00,7.44,2.16,0.00,poor,rainy,9.17,3.26
7.38,4.65,3.68,7.00,3.00,5.79,1.27,0.00,average,snowy,5.40,4.00
7.52,8.32,8.76,4.00,5.00,6.40,2.78,2.00,poor,snowy,4.48,3.11
5.98,5.04,10.22,2.00,4.00,5.81,2.71,1.00,poor,sunny,6.40,1.56
7.35,5.46,1.18,2.00,3.00,5.03,0.44,1.00,poor,sunny,5.00,1.00
7.44,2.48,17.51,4.00,5.00,6.67,2.17,1.00,average,snowy,9.69,2.09
5.93,3.77,43.14,2.00,5.00,8.22,2.88,0.00,poor,sunny,10.00,1.00
9.80,4.25,3.29,5.00,5.00,6.71,3.20,3.00,good,snowy,6.61,3.62
7.71,4.36,18.22,4.00,2.00,4.61,2.65,0.00,good,snowy,7.76,1.00
5.21,7.56,21.86,0.00,4.00,4.67,2.73,1.00,average,cloudy,6.90,1.00
7.98,6.12,10.87,0.00,4.00,4.74,1.46,1.00,average,snowy,7.33,1.00
5.54,2.78,24.15,4.00,7.00,6.89,0.77,2.00,average,rainy,10.00,4.20
8.18,5.49,10.58,2.00,2.00,3.95,1.69,1.00,average,sunny,6.90,1.00
8.74,6.00,14.05,2.00,3.00,2.95,0.75,0.00,average,rainy,8.09,1.00
5.77,7.28,0.15,5.00,4.00,5.94,1.26,1.00,good,sunny,3.12,4.28
8.45,8.16,23.53,3.00,5.00,5.04,1.25,0.00,poor,snowy,9.13,1.00
7.62,2.97,21.66,4.00,7.00,7.96,1.06,1.00,good,rainy,10.00,2.82
